Lat Long,Emotion
"-27.46,153.02",321
"-27.47,153.02",272
"-27.45,153.01",122
"-27.45,153.03",121
"-27.49,153.01",113
"-33.86,151.2",90
"-27.45,153.04",79
"-37.81,144.96",69
"-35.23,149.08",67
"-27.46,153.01",59
"-37.8,144.97",53
"-27.46,153.03",52
"-27.47,153.01",50
"-37.81,144.95",47
"-37.79,144.96",45
"-27.47,153",42
"-27.46,153",41
"-27.44,153.03",40
"37.5,-79.1",38
"49.19,-122.86",37
"-27.46,152.99",37
"-27.46,153.04",36
"-27.48,153.02",36
"-33.89,151.19",34
"-37.8,144.96",34
"-27.48,153",33
"-33.88,151.2",32
"-27.44,153.04",30
"-35.27,149.12",29
"55.35,86.11",28
"-27.47,152.99",28
"-27.43,153.02",28
"-33.87,151.2",27
"-27.44,153.01",27
"-27.52,153.02",27
"49.25,-122.78",27
"-37.76,144.97",26
"-31.94,115.83",26
"-27.38,153.01",26
"-33.73,151.13",26
"-27.36,153.01",25
"-27.49,153",25
"-27.28,152.98",25
"-27.44,153.02",25
"52.46,-1.9",25
"-19.25,146.81",25
"-27.48,152.99",25
"-27.55,153.05",25
"-27.43,153.01",25
"-35.34,149.08",25
"-33.86,151.21",24
"-27.5,153.23",24
"-19.27,146.78",23
"54.68,25.27",23
"14.57,121.05",23
"-37.74,145",22
"-27.51,153.02",22
"-43.52,172.58",22
"-33.87,151.21",22
"-27.42,153",22
"-27.49,153.03",22
"-31.95,115.85",21
"-27.43,153.04",21
"-27.3,153.01",21
"-37.79,144.97",21
"-27.4,153.05",21
"35.72,139.64",20
"-33.9,151.17",20
"-27.93,153.4",20
"-16.92,145.77",19
"-32.96,151.62",19
"-27.49,153.05",19
"-30.61,151.49",19
"-27.42,153.04",19
"-33.89,151.18",19
"-41.29,174.77",19
"46.07,-66.97",19
"-27.38,153.04",19
"-36.63,145.72",18
"-27.44,153",18
"-27.46,152.98",18
"-27.38,153.02",18
"-33.79,151.27",18
"-27.4,153.06",18
"54.67,25.26",18
"-27.56,152.88",18
"54.75,25.26",18
"-35.19,149.12",18
"-41.28,174.77",18
"-37.84,144.99",17
"-27.43,153",17
"-33.82,151.12",17
"50.09,14.45",17
"-27.52,152.98",17
"-34.83,138.7",17
"-33.87,151.22",17
"-27.47,153.08",17
"-28.25,153.57",17
"-35.23,149.06",17
"-27.23,153.01",17
"-27.44,153.06",17
"-33.83,151.2",16
"-37.85,144.98",16
"55.62,12.38",16
"-27.59,151.92",16
"-33.73,150.91",16
"-27.5,153.03",16
"-27.47,152.98",16
"22.34,114.13",16
"-34.82,138.61",16
"-31.96,115.81",16
"-33.87,151.19",16
"-35.27,149.11",16
"-33.88,151.19",16
"14.56,121.01",16
"-37.81,144.97",16
"-27.4,153.04",15
"-37.6,145.1",15
"21.02,105.85",15
"49.88,-119.48",15
"-37.74,145.05",15
"-37.89,145.17",15
"-27.45,153.02",15
"52.12,5.03",15
"-28.06,153.4",15
"-24.94,152.27",15
"-36.55,145.99",15
"47.7,-122.33",15
"-41.22,174.79",14
"-16.83,145.68",14
"-27.47,153.03",14
"-27.44,152.99",14
"-37.76,144.94",14
"-32.9,151.67",14
"52.13,6.6",14
"54.68,25.28",14
"-27.54,153.02",14
"-34.01,151.1",14
"52.36,4.87",14
"51.46,-0.33",14
